keys,values
000000004795.jpg,A cat observing a computer screen next to a laptop and a cordless phone.
000000005001.jpg,A group of people cutting a ribbon on a street.
000000005037.jpg,A passenger bus pulling up to the side of a street.
000000005060.jpg,A man in green shirt with cellphone reflecting in a mirror.
000000005193.jpg,Man and boys holding two surfboards getting picture taken.
000000005529.jpg,A person on skis skiing down a mountain slope.
000000005586.jpg,a tennis player with a racket on a court 
000000005600.jpg,A pan filled with onions sitting next to a pan of stew.
000000005992.jpg,A small group of sheep standing together next to a building.
000000006012.jpg,There are bananas around another piece of fruit. 
000000006040.jpg,A blue and white train is moving on the rails. 
000000006213.jpg,A shower curtain sits open in an empty and clean bathroom. 
000000006460.jpg,a person riding a surf board on a wave
000000006471.jpg,A baseball player holding a bat next to a base.
000000006614.jpg,A black and white image of a lot of round objects.
000000006723.jpg,Row of buildings on empty street near side walk.
000000006763.jpg,A man and a women posing next to one another in front of a table.
000000006771.jpg,A woman dressed up in a costume talking on a cell phone.
000000006818.jpg,a couple of buckets in a white room
000000006894.jpg,A man getting a kiss on the neck from an elephant's trunk
000000006954.jpg,A group of young children sitting in the grass.
000000007088.jpg,A little girl is holding an umbrella on a wet day.
000000007108.jpg,A herd of elephants walking away from a watering hole.
000000007278.jpg,there is a male surfer that is riding in the wave
000000007281.jpg,Two men smile as they ride horses on the beach.
000000007386.jpg,a small motor bike outside of the garage
000000007511.jpg,A man is flying a kite at the beach.
000000007574.jpg,A kitchen with a very messy counter space.
000000007784.jpg,This is a large kite flying high in the sky.
000000007795.jpg,A narrow hotel room with two made up beds.
000000007816.jpg,A person on a motor bike travels around a sharp corner.
000000007818.jpg,An illuminated floral display forms the centerpiece of the arrangement in this close up of a dining room table setting.
000000007888.jpg,A pedestal clock strikes 6:55 in a rainy sky.
000000007977.jpg,A young man performing tricks on a skateboard.
000000007991.jpg,A plate topped with baby carrots and beans next to a  peeler.
000000008021.jpg,A presenter projected on a large screen at a conference.
000000008277.jpg,The meal consists of chopped chicken with cheese and brocolli.
000000008532.jpg,A man that has glasses and a hat.
000000008629.jpg,many different slices of pizza with a white sauce.
000000008690.jpg,The two young girls are petting the two goats.
000000008762.jpg,Street lights and a lit up street sign at an intersection.
000000008844.jpg,Smiling lady standing by two bunches of bananas on a table.
000000008899.jpg,A red brick building with a graffiti covered front.
000000009378.jpg,Man preforming a trick with a disk toy.
000000009400.jpg,A group of people that are sitting in front of laptops.
000000009448.jpg,A little girl holds up a big blue umbrella.
000000009483.jpg,A man in a suit standing next to a control board and computer.
000000009590.jpg,A group of people sitting around a wooden table.
000000009769.jpg,The pick up truck is plowing the snow. 
000000009772.jpg,A person is taking a picture of a hotel bathroom.
000000009891.jpg,The man is loading luggage suitcases onto the cart in the parking lot. 
000000009914.jpg,"A plate of food which includes onions, tomato, lettuce, sauce, fries, and a sandwich."
000000010092.jpg,A green netted bed in a light filled bedroom.
000000010583.jpg,a plate of meat topped with potatoes veggies and gravy
000000010707.jpg,A man standing in a living room holding a Nintendo Wii game controller.
000000010764.jpg,A catches crouches on a patch of dirt.
000000010995.jpg,A small room with a bed and window letting in light.
000000011051.jpg,Girl looks back as she fixes flower on boy's suit
000000011122.jpg,A red stop sign behind a chain link fence.
000000011197.jpg,A man prepares to cross the street at a crosswalk
000000011615.jpg,a stack of traffic signs on a pole next to a street.
000000011699.jpg,Two women are imposing together as one holds her luggage.
000000011760.jpg,A group of zebras walking away from trees.
000000011813.jpg,A camera sits on a tripod connected to a laptop.
000000012062.jpg,A large white sheep standing next to other sheep.
000000012120.jpg,A couple of women playing a game of tennis on a tennis court.
000000012280.jpg,An airport with a woman carrying a piece of luggage.
000000012576.jpg,A woman sitting at a table topped with pizza.
000000012639.jpg,A little boy about to hit a baseball during a game.
000000012670.jpg,A crowd of people standing around each other.
000000012748.jpg,A man and child next to a horse.
000000013004.jpg,a banana is laying on a small plate
000000013177.jpg,a man is working on a hub cap on the ground
000000013201.jpg,"A young man with long hair, wearing all black, doing stunts on a skateboard."
000000013291.jpg,A group of people hold up Frisbees for the camera.
000000013348.jpg,a large air plane on a terminal 
000000013546.jpg,A young man riding a skateboard on a stone wall.
000000013597.jpg,A piece of chocolate cake on a plate.
000000013659.jpg,A man sitting in front of a laptop computer in an office.
000000013729.jpg,a group of people that are playing some wii
000000013774.jpg,A person standing in shore of beach with a frisbee in the sky.
000000013923.jpg,a room that has some furniture and a table in it
000000014007.jpg,A cat stands on top of a blue electric device.
000000014038.jpg,A kitchen with hard wood floors and a yellow smiley face balloon.
000000014226.jpg,A man sitting on a train at a table using a laptop.
000000014380.jpg,A steel truss bridge carries a roadway over a rail yard.
000000014439.jpg,Some people in a grass field flying a kite in the sky.
000000014473.jpg,a red and black train is coming down the tracks
000000014831.jpg,A brown and white animal laying on top of a bed.
000000014888.jpg,"A cow getting relief as it is being milked.
"
000000015079.jpg,Two peanut butter and jelly sandwiches sliced in half
000000015254.jpg,These platters display healthy food choices of two entrees with a side  vegetable and fruit
000000015278.jpg,A white plate topped with broccoli and a dumpling.
000000015335.jpg,A group of people sitting at a table with food.
000000015338.jpg,A yellow bus is on a street near a black guard rail.
000000015440.jpg,A stop sigh on a post with two buses in the background.
000000015497.jpg,A cat laying on top of a couch next to a computer mouse.
000000015517.jpg,Buses parked on a road outside a large bus station. 
000000015597.jpg,shirtless skateboarder going down a ramp on clear day 
000000015660.jpg,there is a man on a surf board in the ocean 
000000015746.jpg,A fire hydrant is standing amid some grass.
000000015751.jpg,A few birds are on the roof of a house.
000000015956.jpg,A woman exercising a brown horse in a riding ring.
000000016010.jpg,An outdoor area with many animals inluding a zebra and a rhinoceros.  
000000016228.jpg,There is a white horse pulling a trolley behind it.
000000016249.jpg,A man sitting on top of a bench with a newspaper.
000000016439.jpg,"A small desk with lamp, phone, and laptop on it."
000000016451.jpg,A bunch of surfboards that are in the sand.
000000016502.jpg,A sheep standing on top of a rock. 
000000016598.jpg,A girl with blue hair is taking a self portrait. 
000000016958.jpg,A room with a fireplace and a wooden table.
000000017029.jpg,a dog jumping to catch a frisbee in a yard
000000017031.jpg,A very cute giraffe making a funny face.
000000017115.jpg,Two zebras are standing together next to the fence.
000000017178.jpg,Horses communing with each other on a shady street.
000000017182.jpg,A brown desk with a wooden chair in a classroom.
000000017207.jpg,A bus stuck in traffic on a busy highway.
000000017627.jpg,Several cars are parked in front of a building.
000000017714.jpg,Food on a train with a pie and some vegetable
000000017899.jpg,an old woman is in front of some food on a table
000000017905.jpg,A man standing next to a light and a sign.
000000017959.jpg,"A large kite with three orange, white and black fish."
000000018150.jpg,a man holding a piece of pizza in front of a kid 
000000018193.jpg,A woman in green sweater eating a hotdog by campfire.
000000018380.jpg,a group of people sit around a big table 
000000018491.jpg,A boy catches a ball as a player slides to the base.
000000018519.jpg,A young man riding a skateboard down the side of a ramp.
000000018575.jpg,"A burger sitting on a table, with another next to it."
000000018770.jpg,A man in a suit with a blue tie and vest.
000000018833.jpg,A cat sleeping with its head resting on a sneaker.
000000018837.jpg,A green utility truck is parked on a street while a man climbs inside.
000000019042.jpg,A large bird that is standing on some rocks by a river.
000000019109.jpg,Many small motorbikes are parked along the street. 
000000019221.jpg,A raw piece of broccoli with something growing from it. 
000000019402.jpg,A COUPLE WEARING HEAVY COATS LAUGHING WHILE EATING PIZZA.
000000019432.jpg,a man playing tennis going for a low ball
000000019742.jpg,A brown glass on the table for display art
000000019786.jpg,One person standing and another bending over in the foreground.
000000019924.jpg,"A woman with a hat, tie and striped halter smoking a long cigarette."
000000020059.jpg,Two zebras graze on grass inside of an enclosure. 
000000020107.jpg,The fire hydrant has some writing on its side.
000000020247.jpg,Bears lope over the ground in a dry landscape.
000000020333.jpg,A young child squats down in front of a bowl.
000000020553.jpg,"A teddy bear laying on top of a bed next to a table with beers.

"
000000020571.jpg,a group of boats parked next to a dock in the water
000000020992.jpg,A woman holding food up to her mouth.
000000021167.jpg,The couple are dressed up and posing for photos.
000000021465.jpg,A dirty table has incense burners on it.
000000021503.jpg,Crackers with spread on table with remote in background
000000021604.jpg,A man in a suit is wearing a lit up tie.
000000021879.jpg,there are many surfers that are in the water
000000021903.jpg,A man is leaning over a fence offering food to an elephant/
000000022192.jpg,A dog is sitting on an unmade bed with pillows.
000000022479.jpg,The skateboarder wears headphones while jumping to grab his board.
000000022589.jpg,A couple of sheep standing next to each other on a field.
000000022623.jpg,Closeup of a cellphone device with various buttons.
000000022705.jpg,The woman in the dress is holding her drink.
000000022755.jpg,A rear view mirror sitting on the side of a yellow bus.
000000022892.jpg,A cats sits on the table with a dog outside.
000000022935.jpg,A girl chasing after a soccer ball with an opposing team member close behind
000000022969.jpg,Giraffes in their wood and grass zoo enclosure
000000023023.jpg,Three pieces of luggage sitting on a floor in front of a curtain.
000000023034.jpg,A man riding on the back of a brown horse.
000000023126.jpg,A man is standing on top of two horses and holding the reigns.
000000023230.jpg,A family of swans swimming on top of a lake.
000000023359.jpg,A man flying through the air while riding a snowboard.
000000023666.jpg,A toilet and bathtub in a dark room with abnormal plumbing.
000000023751.jpg,A statue of a person holding an kite next to a child.
000000023781.jpg,An assortment of fruits and vegetable all set together
000000023899.jpg,Three young men playing Wii on a projection television.
000000023937.jpg,a small sheep is laying in a field
000000024021.jpg,A class picture of the Goodmayes Boys' School in April of 1929.
000000024027.jpg,A kite flying over a city park on a windy day.
000000024144.jpg,A pizza sitting on top of a pizza box covered in cheese.
000000024243.jpg,The girl is sitting inside the broken fridge on the side of the road. 
000000024567.jpg,There is a man looking at a lot if hot dogs in a bun in a pan
000000024610.jpg,A disorderly living area is free from decorative elements.
000000024919.jpg,A herd of elephants standing on top of a field.
000000025057.jpg,A man without a shirt in a park holding a beer and a frisbee. 
000000025139.jpg,A zebra grazing on food behind a metal fence.
000000025181.jpg,A train station with an awning is depicted with a train on the right platform.
000000025228.jpg,A woman sitting on a surfboard in the ocean.
000000025386.jpg,A man sitting on a train next to a woman.
000000025393.jpg,a couple of men in ties are outside
000000025394.jpg,Bartender opening a bottle of wine while patron waits patiently
000000025424.jpg,A man hitting a tennis ball with a tennis racquet.
000000025560.jpg,An orange and white cat standing in front of a flat screen TV
000000025593.jpg,A stop sign on a post at a public street.
000000025603.jpg,A girl with some food and drink at a table.
000000025986.jpg,A bunch of items that are on a counter.
000000026465.jpg,A laptop computer sitting on a desk next to a smart phone.
000000026690.jpg,A man is high in the air as he skateboards on the ramp.
000000026926.jpg,An orange fire hydrant with a face and bow tie drawn on it. 
000000026941.jpg,A bunch of suitcases that are on a cart.
000000027186.jpg,A little girl playing with an interactive gaming unit.
000000027620.jpg,A laptop sitting on a desk next to a chair and another computer.
000000027696.jpg,A person is eating pizza with a knife and fork.
000000027768.jpg,A bus which is part of the Metropolitan Transit System.
000000027932.jpg,A catchers mitt sitting inside of a blue baseball hat.
000000027972.jpg,A man in a red shirt rides a yellow surfboard on light blue water.
000000027982.jpg,A small bathroom with marble tiles and counter.
000000028285.jpg,A white clock tower at the top of a tiled building.
000000028449.jpg,A group of elephants are standing in the trees.
000000028452.jpg,An open refrigerator door on a kitchen floor.
000000028809.jpg,A picture of a bunch of bananas sitting on a table. 
000000028993.jpg,a couple of yellow poles are on the street
000000029393.jpg,A large brown dog standing on the side of a white wood fence.
000000029397.jpg,A person wearing orange pants standing on a bench
000000029596.jpg,"A room with a couch, table set with dinnerware and a television. "
000000029640.jpg,A skillet contains diced meat and mixed vegetables.
000000029675.jpg,A plate topped with three hot dogs on top of a table.
000000029984.jpg,A group of people wading around a large body of water.
000000030213.jpg,A kitchen filled with a stove top oven and a refrigerator.
000000030494.jpg,A black and brown dog digging at an object on a dirt ground.
000000030504.jpg,A person riding skis down a snow covered slope.
000000030675.jpg,The train engine number 6309 is operated by BNSF. 
000000030785.jpg,A plate filled with a bowl of vegetables and two slices of bread with a spread on them.
000000031050.jpg,A vase with various flowers in it on a display case.
000000031093.jpg,A skateboarder is on top of a cement bowl.
000000031118.jpg,Christmas decorations surrounding a clock tower in a town square.
000000031217.jpg,Person on tennis court preparing to return a volley.
000000031248.jpg,"Living room with white chairs and couches, fireplace and books on bookshelves."
000000031269.jpg,three zebras in a field near bushes 
000000031296.jpg,A group of older people around a long restaurant table.
000000031322.jpg,A flock of swans swims in a bay.
000000031620.jpg,A bride and groom cutting their wedding cake.
000000031735.jpg,A red living room filled with furniture and two windows.
000000031749.jpg,A demonic looking chucky like doll standing next to a white clock.
000000032038.jpg,A large cheese pizza being served to customers.
000000032081.jpg,A woman holding a tennis racquet on a tennis court.
000000032285.jpg,A white toilet sitting next to a toilet paper roller.
000000032334.jpg,Two people are smiling holding empty wine glasses.
000000032570.jpg,A man riding a wave on top of a white surfboard.
000000032610.jpg,a desk top with a bunch of electronics on it 
000000032735.jpg,a person jumping a pair of skis in the air
000000032811.jpg,A bird resting outside of a boat window. 
000000032861.jpg,A man holding an umbrella in a  hallway.
000000032887.jpg,A man holding a stick standing next to a  green hillside.
000000032901.jpg,four men are posing for a picture at an event
000000033005.jpg,A person playing a game of tennis with a racket.
000000033104.jpg,A group of people standing around each other in skis.
000000033109.jpg,A semi truck is driving down a street.
000000033221.jpg,A woman holding a tennis racquet in the air
000000033368.jpg,A man that is on a tennis court with a racquet.
000000033707.jpg,Two giraffes are standing next to a building.
000000033759.jpg,A boy swinging a baseball bat at a game.
000000034071.jpg,The photo of the double parking meter has a blurry city in the background.
000000034139.jpg,Two people posing next to a giant suitcase in front of a building.
000000034205.jpg,"Closeup of a plate of food that includes chicken, mushrooms and broccoli."
000000034257.jpg,A market display case filled with different colored vegetables.
000000034417.jpg,People working behind glass in a doughnut making factory.
000000034452.jpg,A man bending over in the woods with a frisbee in each hand.
000000035062.jpg,a sleeping child in a bed with a black and white cover
000000035197.jpg,A person on a skateboard rides down a ramp.
000000035279.jpg,there is a tennis racket and a laptop on the floor
000000035326.jpg,A stove back splash with a granite design.
000000035682.jpg,Eating a donut makes for a quick and easy breakfast.
000000035770.jpg,a couple of pans you would use to pee in
000000035963.jpg,A statue with two stuffed animals on top of it sitting in a patch of dirt.
000000036494.jpg,the people are all in a restaurant some are sitting 
000000036539.jpg,There is a man and a young girl snowboarding 
000000036660.jpg,Someone in sandals is standing over a broken cell phone in pieces. 
000000036678.jpg,The Big Ben clock tower towering over the city of London.
000000036844.jpg,A spacious living room with three windows and a wooden floor.
000000036861.jpg,A parking meter on the side of the street with a ring for attaching bicycles.
000000036936.jpg,Two people play video games while sitting on a couch.
000000037689.jpg,There are two snowboarders in the air completing stunts.
000000037740.jpg,A wooden desk with a laptop computer sitting on it.
000000037777.jpg,The dining table near the kitchen has a bowl of fruit on it.
000000037988.jpg,a woman is throwing a tennis ball to serve
000000038048.jpg,A red fire hydrant on a city sidewalk.
000000038070.jpg,A white toilet sitting next to a trash can in a restroom.
000000038118.jpg,A man on his skis on a snowy slope. 
000000038210.jpg,a skier is prepared to go down a mountain.
000000038576.jpg,A desktop computer with it's monitor sitting on it's side.
000000038678.jpg,A woman in striped shirt holding a plate with a bagel on it.
000000038825.jpg,Two Zebras grazing together in a grassy area.
000000039405.jpg,Spectators watching as competitors play a double tennis game.
000000039477.jpg,Someones living room with a sewing machine and plants. 
000000039480.jpg,a woman walking on a tennis court holding a tennis racket.
000000039484.jpg,A variety of cars on a street with buildings.
000000039551.jpg,A woman that is standing on a tennis court with a racquet.
000000039670.jpg,A train traveling through rural countryside lined with trees.
000000039769.jpg,A couple of cats laying on top of a pink blanket.
000000039785.jpg,A person is surfing in a wave pool.
000000039914.jpg,A woman and small child are trying to fly a kite.
000000039951.jpg,A young boy taking a swing at a tennis ball
000000039956.jpg,A messy room with door and bed and chair.
000000040036.jpg,A person jumping a horse over a box.
000000040083.jpg,A couple of people sitting under an umbrella.
000000040757.jpg,A young boy laying in bed with a pacifier in his mouth
000000041488.jpg,"The road sign says ""East 278 Queens Bronx"""
000000041633.jpg,"A burgundy low-rider show-quality, hot rod Chevy truck."
000000041635.jpg,Three cows standing on a grass field under a cloudy sky.
000000041872.jpg,A bedroom with built in television and open fireplace
000000041888.jpg,Three birds walking around a dry grass field.
000000041990.jpg,A group of people on snow shoes posing for a photo.
000000042070.jpg,A very big city bus on a big street.
000000042178.jpg,Smoggy picture of many trains in a busy train station.
000000042276.jpg,A toilet sitting in a room surrounded by personal items.
000000042296.jpg,a polar bear partially submerged in a body of water
000000042528.jpg,a person lifting a little stool with their feet and a person holding a cell phone 
000000042563.jpg,Railway car on snow covered tracks approaching urban area.
000000042628.jpg,Snow piled high around pipes with people walking in background
000000042888.jpg,A corner street sign with a tow sign and a art piece
000000042889.jpg,A teddy bear sits by a keyboards and microphone.
000000043314.jpg,A man flying through the air while riding skis.
000000043435.jpg,"Two surfers catching two different waves, one after the other."
000000043581.jpg,A restaurant table with a plate of vegetable pizza and garnishment
000000043737.jpg,A photograph of a sidewalk covered in snow.
000000043816.jpg,A batter getting ready to hit his pitch.
000000044068.jpg,A brown teddy bear sitting in a red chair.
000000044195.jpg,A woman with a snowboard with a man standing next to her on a ski slope.
000000044260.jpg,A collection of apples growing on a tree. 
000000044699.jpg,A group of animals grazing on a lush green field.
000000044877.jpg,a person in a wheel chair swinging a tennis racket
000000045070.jpg,A girl in white and pink shirt riding on a horse.
000000045090.jpg,A couple of men in the water on surfboards.
000000045472.jpg,A table with some oranges and some cups.
000000045550.jpg,a close up of a person holding up a plate of food
000000045728.jpg,Some delicious noodles are being cooked on a pan. 
000000046031.jpg,A laptop and a desktop computer sitting on a table.
000000046048.jpg,A little girl sitting on top of a bed next to a lamp.
000000046252.jpg,A batter ready to swing at home plate with an umpire and catcher behind him 
000000046463.jpg,A hand holding a sandwich above a plate.
000000046497.jpg,Two little girls sitting on the side of a white boat.
000000046804.jpg,A sheep standing in grass next to a rock wall.
000000046872.jpg,A man standing along side of a truck trailer.
000000047010.jpg,A pond of water with three giraffe walking in the dirt.
000000047112.jpg,A dining table has a large pizza and wine glasses.
000000047121.jpg,A cat standing on the edge of a sink drink water.
000000047571.jpg,Some people sit in a carriage pulled by a horse. 
000000047585.jpg,A man holds an umbrella for a new bride
000000047740.jpg,A man lies on the beach while someone else holds a kite.
000000047769.jpg,a black table and stools sitting next to two windows with shutters
000000047801.jpg,A bald headed man eating a slice of cake.
000000047819.jpg,A man standing behind a brown horse carrying lots of luggage.
000000047828.jpg,A blue lighted bridge over water at night.
000000048153.jpg,A foot wearing a pointy pink flat shoe rested upon a bench.
000000048396.jpg,A woman standing next to a young boy holding a knife.
000000048504.jpg,Elephants are in a ring with a person near bleachers.
000000048555.jpg,A group of people on horses racing together.
000000048564.jpg,A man standing in the snow while talking on a cell phone.
000000049060.jpg,A train sitting next to a loading platform with people standing on it.
000000049091.jpg,A city lined with tall buildings covered in hanging letters.
000000049259.jpg,A man with his shirt off sitting by the shoreline sunning himself. 
000000049269.jpg,A horse in a pasture of tall grass observing an energetic dog.
000000049759.jpg,a boy is preparing to serve a volley ball
000000049761.jpg,A herd of cattle and zebra standing next to each other on a  field.
000000049810.jpg,A little cat looking at itself in a mirror.
000000050006.jpg,Looking out over a bay with many tourist boats moored
000000050145.jpg,A shirtless man walking a bike down a rural street.
000000050149.jpg,A group of bunches of bananas are shown hanging together.
000000050165.jpg,Small train running down the tracks in the middle of a field.
000000050326.jpg,A man holding a kite on a beach during the day.
000000050331.jpg,The fresh vegetables are growing in the garden.
000000050380.jpg,A  man guiding a pony with a boy riding on it.
000000050638.jpg,A boy carries a stuffed animal as he walks beside some flowers.
000000050679.jpg,A close-up of an orange on the side of the road.
000000050811.jpg,am empty bowl and three empty beer bottles in front of a man
000000050828.jpg,Two twin beds with no comforters on them.
000000050844.jpg,A bed filled with different types of stuffed animals.
000000050896.jpg,A bowl filled with lots of oranges on a counter.
000000050943.jpg,A person riding a wave on top of a surfboard.
000000051008.jpg,A cat looking like it is using a laptop 
000000051309.jpg,Small horse standing behind a large group of horses eating. 
000000051314.jpg,A man is surfing on a small wave.
000000051326.jpg,"Three decorated, carved jack-o-lanterns, one with pink flowers and a vase inside it"
000000051610.jpg,A young girl watches a laptop on a bed. 
000000051712.jpg,A man skiing down the side of a snow covered mountain.
000000051738.jpg,A bed in a hotel is carrying sheets and pillows as it sit next to a lamp.
000000051938.jpg,A person on skis does a trick on a rail.
000000051961.jpg,a wall with a bunch of graffiti on it
000000051976.jpg,A man on a surfboard riding a wave in the ocean.
000000052007.jpg,People are boarding a bus parked at a stop.
000000052412.jpg,A jetliner wing flying over the top of a parking.
000000052413.jpg,"A child holding a pink toy cell phone with ""Princess Aurora"" inside it."
000000052462.jpg,Two zebra standing next to each other in a dry grass field.
000000052507.jpg,A person that is going out in the water.
000000052565.jpg,a cow stares as it stands next to a body of water 
000000052591.jpg,A woman standing while holding a pole on snow
000000052891.jpg,There is a dog holding a Frisbee in its mouth.
000000053529.jpg,A dog with a hat and a person in a truck.
000000053624.jpg,A large gray elephant standing on a pool of water.
000000053626.jpg,A group of people standing on ski's in the snow.
000000053909.jpg,a picture of a cellphone on a cellphone
000000053994.jpg,A pretty red white and blue parking meter by some shrubs.
000000054123.jpg,The zebras are standing around and grazing in the pasture.
000000054164.jpg,a man that is surfing on some water
000000054592.jpg,"Two people with snow gear on, carrying equipment."
000000054593.jpg,The action in an organized youth baseball game.
000000054605.jpg,a shake is sitting next to a cake
000000054628.jpg,Ornate wedding cake ready at the hotel reception
000000054654.jpg,The woman is dipping food out of the pot to eat.
000000054931.jpg,a woman with a rope leading a horse
000000054967.jpg,A city street with cars and street lights.
000000055022.jpg,A bunch of different bikes on a wooden floor.
000000055072.jpg,A single giraffe looks over the green brush.
000000055150.jpg,Two children smiling on top of luggage in parking lot
000000055167.jpg,A yellow and blue bus traveling down a road next to a park.
000000055299.jpg,A bird is perched on a large rock near the shore.
000000055528.jpg,A man holding a paper bag while showing the camera a toothbrush.
000000055950.jpg,a man is playing tennis and is going to return the ball
000000056127.jpg,Fish eye angle view of small kitchen with fire extinguisher at far end.
000000056288.jpg,A tall sandwich with pickle on a white plate.
000000056344.jpg,Two computer monitors on a desk with a keyboard and mouse
000000056545.jpg,A gray bird is standing on small brown branch.
000000057027.jpg,An adult elephant is pictured walking with a baby elephant.
000000057149.jpg,A school bus and a silver car waiting at a railroad crossing for a train to go past.
000000057150.jpg,Little girl holding up a big stuffed animal with other children in background.
000000057232.jpg,Old baseball bats are turned into a seat.
000000057238.jpg,A white refrigerator freezer sitting inside of a kitchen.
000000057244.jpg,A rusted out train engine sitting next to a green forest.
000000057597.jpg,A group of women playing a game of soccer on field.
000000057725.jpg,Buildings with a clock and a crane over head are in this picture. 
000000057760.jpg,many people on a beach with a kite flying in the sky
000000058029.jpg,a bathroom with a big mirror above the sink
000000058111.jpg,An orange and white cat laying on top of a sink.
000000058350.jpg,a young woman with a slice of pizza in her mouth
000000058384.jpg,A herd of elephants standing next to each other.
000000058393.jpg,Two people sitting on a bench silhouetted against the sea.
000000058539.jpg,A man wearing a suit and tie and red hat with a silver buckle.
000000058636.jpg,A large wooden pole with a green street sign hanging from it.
000000058655.jpg,There is a clock right outside of the tall building.
000000059044.jpg,A group of people looking at some kind of show or exhibit 
000000059386.jpg,A group of giraffes stand together feeding on leaves in a large park.
000000059598.jpg,A table topped with a laptop computer next to a plate of food.
000000059635.jpg,Woman in wet suit considers waves near forested coastline.
000000059920.jpg,a bathroom with a both a toilet and bidet
000000060052.jpg,A woman twirling a floral print parasol umbrella.
000000060090.jpg,A yellow commuter train parked at a train station.
000000060102.jpg,Two opponents are playing during a soccor game.
000000060347.jpg,A man sitting on the park bench in the forest 
000000060363.jpg,A large clock mounted to the side of a building.
000000060449.jpg,A very nice looking deck area with a small table and a laptop.
000000060507.jpg,A batter at a game playing in a baseball game.
000000060770.jpg,Two zebras in an open field with grass.
000000060823.jpg,Some cows that are wandering around a lot of pigeons.
000000060835.jpg,A dog in a a cage with a bed and bowl
000000060855.jpg,Five oranges with a red apple and a green apple.
000000060886.jpg,A group of baseball players cluster together while wearing blue and white uniforms.
000000060899.jpg,The young boy is playing in the living room of his house. 
000000060932.jpg,A group of people standing in a room.
000000061108.jpg,A dog sits in the basket of a bicycle leaning against bleachers.
000000061171.jpg,A herd of black and white cows eating dry grass.
000000061268.jpg,A train going down the track near a city
000000061333.jpg,A orange and white cat sleeping on top of a blanket on a bed.
000000061418.jpg,Several children attentively play a game of curling together.
000000061471.jpg,Puppy chewing on toilet paper in the bathroom. 
000000061584.jpg,a couple is sitting on a statue of a horse and some plants
000000061658.jpg,A picture of some food on a plate
000000061747.jpg,there is a woman about to ski down a hill
000000061960.jpg,A PERSON LAYING ON A BED WITH THIGH HIGHS AND HEELS
000000062353.jpg,Two giraffe walking next to each other in a forest.
000000062355.jpg,A baseball player holding a bat standing next to home plate.
000000062554.jpg,Several plates of food are set on a table.
000000062692.jpg,A woman standing on top of a tennis court.
000000063047.jpg,Man with food items walking on sidewalk while listening to audio.
000000063154.jpg,A surfer is riding a wave in light blue water.
